sma,jerk_variance,spectral_entropy,touch_density,app_switches,label
0.043058344110961544,0.00656857190479105,0.6191260681631833,0,0,0
0.3314928468444422,0.1531348700666573,1.065890975782196,4,1,2
3.2529205631922804,1.5984577096404702,1.2991343020872568,1,6,1
3.518790511307941,1.8606025101142234,2.066944171168153,1,2,1
0.034558980044044396,0.09150130078697083,0.5032638836690871,0,0,0
8.627448860107515,5.139893797980873,2.491283605469989,14,1,3
0.14591583030011565,0.053573894336209515,0.327081711049658,0,0,0
0.29935731878210514,0.1122392543983286,0.9176107523655571,7,0,2
3.9404944961633377,2.180953918180494,1.7540561229539702,1,3,1
3.6803386906638873,0.8858287800251099,1.174900249971572,1,4,1
4.922422955285821,2.128342615445739,1.483697747689005,2,2,1
4.769341992663939,4.364728786407608,1.6587596371006168,8,8,3
3.4299702231919555,1.4615915131864718,1.6609463181363988,0,1,1
0.0689576200874442,0.011008765644912662,0.7560502959355684,0,0,0
6.7604007525865,3.6831047641556247,1.387979320378629,7,2,3
0.09825057547515192,0.032433538456405224,0.5626434672453944,0,0,0
4.946697411478803,3.5112724670071684,1.2070051755831468,10,5,3
3.2835812883616287,1.6123104851636967,1.0135642126343336,1,3,1
0.08702266612080414,0.066895487515634,0.6086380711205838,0,0,0
3.9931956884898785,2.5024145747416187,2.3246347247730195,1,3,1
3.009127105106434,1.5026141410341523,1.9914843549409267,2,5,1
4.60067562010182,5.394548596770258,2.657006023309378,12,2,3
0.024212794250138406,0.016253113057785797,0.6228030209608135,0,0,0
3.2370123587430903,4.941860090066665,2.7085789958963145,10,6,3
6.926356144610651,5.328734605941503,0.3320206984347849,9,3,3
0.06715528605143022,0.05759279296771931,0.35661941760715854,0,0,0
2.648382759813292,2.0345017503685305,1.4469974721875272,0,3,1
0.2929140833359553,0.0347226686005772,1.0795908685112086,8,0,2
0.39385715398455845,0.06782557731755937,0.9094463663589943,2,0,2
0.20287477348558494,0.03820210487074219,0.43921761073843757,1,0,0
0.2360753866549614,0.08482871857576779,0.9067666491625033,2,0,2
4.0212299906445415,1.5292330398661282,1.7642420560452665,1,2,1
0.17480221557445916,0.012603673209356722,0.5037696573123923,1,0,0
0.11394970811119011,0.09615832501232222,0.3803334407715604,1,0,0
0.35165849695700946,0.09761235605874069,0.7844967868117252,4,0,2
5.905868090140128,4.157635418403078,2.008470890307646,7,6,3
0.37460579388855286,0.124730705096791,1.0808255151709554,5,0,2
0.12095095046830226,0.09084152080287489,0.36547903291913975,0,0,0
6.8453995541981705,1.9355908765657643,2.384097091094043,15,3,3
0.3362092737358238,0.03554873861845295,0.6033376535450318,4,0,2
